Symbols,Company_Names,Sectors,Industry,Short_Names
AMBIKCO,Ambika Cotton Mills Limited,Textiles,Cotton Manufacturing,AmCoMiLi
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Cement Production,AmCeLi
AMDIND,AMD Industries Limited,Basic Materials,Packaging Solutions,AMInLi
AMIORG,Ami Organics Limited,Chemicals,Specialty Chemicals,AmOrLi
AMJLAND,Amj Land Holdings Limited,Real Estate,Real Estate Development,AmLaHoLi
AMNPLST,Amines & Plasticizers Limited,Chemicals,Chemical Manufacturing,Am_PlLi
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Pharmaceuticals,AmHeCaLi
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Wealth Management,AnRaWeLi
ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate Development,AnRaLi
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,Paper Products,ANPALI
ANDHRSUGAR,The Andhra Sugars Limited,Agriculture,Sugar Production,ThAnSuLi
ANGELONE,Angel One Limited,Financial Services,Stock Broking & Investment Services,AnOnLi
ANIKINDS,Anik Industries Limited,Basic Materials,Industrial Manufacturing,AnInLi
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel & Power Manufacturing,AnMe_PoLi
ANMOL,Anmol India Limited,Consumer Goods,Consumer Goods Manufacturing,AnInLi
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate Development,AnPr_InLi
ANTGRAPHIC,Antarctica Limited,Consumer Goods,Graphic Designing,AnLi
ANUP,The Anup Engineering Limited,Engineering,Engineering Services,ThAnEnLi
ANURAS,Anupam Rasayan India Limited,Chemicals,Specialty Chemicals,AnRaInLi
APARINDS,Apar Industries Limited,Basic Materials,Electrical Equipment,ApInLi
APCL,Anjani Portland Cement Limited,Basic Materials,Cement Production,AnPoCeLi
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Chemical Manufacturing,ApInLi
APEX,Apex Frozen Foods Limited,Consumer Goods,Frozen Food Production,ApFrFoLi
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel Pipes,APApTuLi
APLTD,Alembic Pharmaceuticals Limited,Healthcare,Pharmaceuticals,AlPhLi
APOLLO,Apollo Micro Systems Limited,Electronics,Micro Systems,ApMiSyLi
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare Services,ApHoEnLi
APOLLOPIPE,Apollo Pipes Limited,Basic Materials,Pipes Manufacturing,ApPiLi
APOLLOTYRE,Apollo Tyres Limited,Basic Materials,Tire Manufacturing,ApTyLi
APOLSINHOT,Apollo Sindoori Hotels Limited,Hospitality,Hotel Management,ApSiHoLi
APTECHT,Aptech Limited,Education,Education & Training,ApLi
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Housing Finance,ApVaHoFiInLi
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Plywood Manufacturing,ArInLi
ARCHIES,Archies Limited,Consumer Goods,Greeting Cards & Gifts,ArLi
ARE&M,Amara Raja Energy & Mobility Limited,Energy,Energy Solutions,AmRaEn_MoLi
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Glass & Ceramics,RaInLi
ARIES,Aries Agro Limited,Agriculture,Agro Products,ArAgLi
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets,ArCaMaLi
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate Development,ArSuLi
ARMANFIN,Arman Financial Services Limited,Financial Services,Financial Services,ArFiSeLi
AROGRANITE,Aro Granite Industries Limited,Basic Materials,Granite Manufacturing,ArGrInLi
ARROWGREEN,Arrow Greentech Limited,Chemicals,Green Technology,ArGrLi
ARSHIYA,Arshiya Limited,Logistics,Logistics & Supply Chain,ArLi
ARSSINFRA,ARSS Infrastructure Projects Limited,Infrastructure,Infrastructure Development,ARInPrLi
ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare Services,ArMeSeLi
ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate Development,ArNiLi
ARVEE,Arvee Laboratories (India) Limited,Pharmaceuticals,Pharmaceuticals,ArLa_ILi
ARVIND,Arvind Limited,Textiles,Textile Manufacturing,ArLi
ARVINDFASN,Arvind Fashions Limited,Textiles,Fashion Industry,ArFaLi
ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate Development,ArSmLi
ASAHIINDIA,Asahi India Glass Limited,Basic Materials,Glass Manufacturing,AsInGlLi
ASAHISONG,Asahi Songwon Colors Limited,Chemicals,Color Manufacturing,AsSoCoLi
ASAL,Automotive Stampings and Assemblies Limited,Automotive,Automotive Components,AuStanAsLi
ASALCBR,Associated Alcohols & Breweries Ltd.,Beverages,Alcohol Production,AsAl_BrLt
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,AsMiLi
ASHIANA,Ashiana Housing Limited,Real Estate,Housing Development,AsHoLi
ASHIMASYN,Ashima Limited,Textiles,Textile Manufacturing,AsLi
ASHOKA,Ashoka Buildcon Limited,Infrastructure,Construction,AsBuLi
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Metal Manufacturing,AsMeLi
ASHOKLEY,Ashok Leyland Limited,Automotive,Automotive Manufacturing,AsLeLi
ASIANENE,Asian Energy Services Limited,Energy,Energy Services,AsEnSeLi
ASIANHOTNR,Asian Hotels (North) Limited,Hospitality,Hotel Management,AsHo_NLi
ASIANPAINT,Asian Paints Limited,Consumer Goods,Paint Manufacturing,AsPaLi
ASIANTILES,Asian Granito India Limited,Basic Materials,Tile Manufacturing,AsGrInLi
ASKAUTOLTD,ASK Automotive Limited,Automotive,Automotive Components,ASAuLi
ASMS,Bartronics India Limited,Technology,Electronics & Electrical,BaInLi
ASPINWALL,Aspinwall and Company Limited,Logistics,Logistics Services,AsanCoLi
ASTEC,Astec LifeSciences Limited,Healthcare,Pharmaceuticals,AsLiLi
ASTERDM,Aster DM Healthcare Limited,Healthcare,Healthcare Services,AsDMHeLi
ASTRAL,Astral Limited,Basic Materials,Plastic Manufacturing,AsLi
ASTRAMICRO,Astra Microwave Products Limited,Electronics,Microwave Manufacturing,AsMiPrLi
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Pharmaceuticals,AsPhInLi
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper Manufacturing,AsPa_BoMiLi
ATALREAL,Atal Realtech Limited,Real Estate,Real Estate Development,AtReLi
ATAM,Atam Valves Limited,Engineering,Valve Manufacturing,AtVaLi
ATFL,Agro Tech Foods Limited,Consumer Goods,Food Products,AgTeFoLi
ATGL,Adani Total Gas Limited,Energy,Gas Distribution,AdToGaLi
ATL,Allcargo Terminals Limited,Logistics,Terminal Operations,AlTeLi
ATLANTAA,ATLANTAA LIMITED,Logistics,Logistics Services,ATLI
ATUL,Atul Limited,Basic Materials,Chemicals,AtLi
ATULAUTO,Atul Auto Limited,Automotive,Automotive Manufacturing,AtAuLi
AUBANK,AU Small Finance Bank Limited,Financial Services,Banking Services,AUSmFiBaLi
AURIONPRO,Aurionpro Solutions Limited,Technology,IT Solutions,AuSoLi
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Pharmaceuticals,AuPhLi
AURUM,Aurum PropTech Limited,Real Estate,Real Estate Technology,AuPrLi
AUSOMENT,Ausom Enterprise Limited,Consumer Goods,Consumer Products,AuEnLi
AUTOAXLES,Automotive Axles Limited,Automotive,Axles Manufacturing,AuAxLi
AUTOIND,Autoline Industries Limited,Automotive,Automotive Manufacturing,AuInLi
AVADHSUGAR,Avadh Sugar & Energy Limited,Agriculture,Sugar Production,AvSu_EnLi
AVALON,Avalon Technologies Limited,Technology,IT Services,AvTeLi
AVANTIFEED,Avanti Feeds Limited,Agriculture,Feed Manufacturing,AvFeLi
AVG,AVG Logistics Limited,Logistics,Logistics Services,AVLoLi
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Investment Services,AvCa_MaSeLi
AVROIND,AVRO INDIA LIMITED,Manufacturing,Industrial Manufacturing,AVINLI
AVTNPL,AVT Natural Products Limited,Agriculture,Natural Products,AVNaPrLi
AWHCL,Antony Waste Handling Cell Limited,Environmental,Waste Management,AnWaHaCeLi
AWL,Adani Wilmar Limited,Consumer Goods,Food Products,AdWiLi
AXISBANK,Axis Bank Limited,Financial Services,Banking Services,AxBaLi
AXISCADES,AXISCADES Technologies Limited,Technology,IT Services,AXTeLi
AXITA,Axita Cotton Limited,Textiles,Cotton Manufacturing,AxCoLi
AYMSYNTEX,AYM Syntex Limited,Textiles,Textile Manufacturing,AYSyLi
AZAD,Azad Engineering Limited,Engineering,Engineering Services,AzEnLi
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Pharmaceuticals,BaPhLi
BAGFILMS,B.A.G Films and Media Limited,Media,Film Production,B.FianMeLi
BAIDFIN,Baid Finserv Limited,Financial Services,Investment Services,BaFiLi
BAJAJ-AUTO,Bajaj Auto Limited,Automotive,Automotive Manufacturing,BaAuLi
BAJAJCON,Bajaj Consumer Care Limited,Consumer Goods,Consumer Goods Manufacturing,BaCoCaLi
BAJAJELEC,Bajaj Electricals Limited,Electrical,Electrical Equipment,BaElLi
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Financial Services,BaFiLi
BAJAJHCARE,Bajaj Healthcare Limited,Pharmaceuticals,Healthcare,BaHeLi
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar Production,Agriculture,BaHiSuLi
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Investment Management,Financial Services,BaHo_InLi
BAJEL,Bajel Projects Limited,Construction,Infrastructure,BaPrLi
BAJFINANCE,Bajaj Finance Limited,Financial Services,Financial Services,BaFiLi
BALAJITELE,Balaji Telefilms Limited,Media & Entertainment,Entertainment,BaTeLi
BALAMINES,Balaji Amines Limited,Chemicals,Chemicals,BaAmLi
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceuticals,Healthcare,BAPHLI
BALKRI-RE,Balkrshn Paper Mil Ltd-RE,Paper Production,Manufacturing,BaPaMiLt
BALKRISHNA,Balkrishna Paper Mills Limited,Paper Production,Manufacturing,BaPaMiLi
BALKRISIND,Balkrishna Industries Limited,Manufacturing,Manufacturing,BaInLi
BALMLAWRIE,Balmer Lawrie & Company Limited,Logistics,Logistics,BaLa_CoLi
BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Healthcare,BaPhLi
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar Production,Agriculture,BaChMiLi
BANARBEADS,Banaras Beads Limited,Handicrafts,Handicrafts,BaBeLi
BANARISUG,Bannari Amman Sugars Limited,Sugar Production,Agriculture,BaAmSuLi
BANCOINDIA,Banco Products (I) Limited,Manufacturing,Manufacturing,BaPr_ILi
BANDHANBNK,Bandhan Bank Limited,Banking,Financial Services,BaBaLi
BANG,Bang Overseas Limited,Trading,Trading,BaOvLi
BANKA,Banka BioLoo Limited,Environmental Services,Clean Technology,BaBiLi
BANKBARODA,Bank of Baroda,Banking,Financial Services,BaofBa
BANKINDIA,Bank of India,Banking,Financial Services,BaofIn
BANSWRAS,Banswara Syntex Limited,Textiles,Manufacturing,BaSyLi
BARBEQUE,Barbeque Nation Hospitality Limited,Hospitality,Hospitality,BaNaHoLi
BASF,BASF India Limited,Chemicals,Chemicals,BAInLi
BASML,Bannari Amman Spinning Mills Limited,Textiles,Manufacturing,BaAmSpMiLi
BATAINDIA,Bata India Limited,Retail,Retail,BaInLi
BAYERCROP,Bayer Cropscience Limited,Agriculture,Agriculture,BaCrLi
BBL,Bharat Bijlee Limited,Manufacturing,Manufacturing,BhBiLi
BBOX,Black Box Limited,Technology,Technology,BlBoLi
BBTC,Bombay Burmah Trading Corporation Limited,Diversified,Conglomerate,BoBuTrCoLi
BBTCL,B&B Triplewall Containers Limited,Manufacturing,Manufacturing,B_TrCoLi
BCG,Brightcom Group Limited,Technology,Technology,BrGrLi
BCLIND,Bcl Industries Limited,Manufacturing,Manufacturing,BcInLi
BCONCEPTS,Brand Concepts Limited,Consumer Goods,Consumer Products,BrCoLi
BDL,Bharat Dynamics Limited,Defense,Defense,BhDyLi
BEARDSELL,Beardsell Limited,Manufacturing,Manufacturing,BeLi
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Food Processing,Food & Beverage,MrBeFoSpLi
BEDMUTHA,Bedmutha Industries Limited,Manufacturing,Manufacturing,BeInLi
BEL,Bharat Electronics Limited,Electronics,Technology,BhElLi
BEML,BEML Limited,Manufacturing,Manufacturing,BELi
BEPL,Bhansali Engineering Polymers Limited,Chemicals,Chemicals,BhEnPoLi
BERGEPAINT,Berger Paints (I) Limited,Manufacturing,Manufacturing,BePa_ILi
BFINVEST,BF Investment Limited,Investment Management,Financial Services,BFInLi
BFUTILITIE,BF Utilities Limited,Utilities,Energy,BFUtLi
BGLOBAL,Bharatiya Global Infomedia Limited,Media & Entertainment,Media,BhGlInLi
BGRENERGY,BGR Energy Systems Limited,Energy,Energy,BGEnSyLi
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Chemicals,Chemicals,BhCh_InLi
BHAGERIA,Bhageria Industries Limited,Manufacturing,Manufacturing,BhInLi
BHAGYANGR,Bhagyanagar India Limited,Manufacturing,Manufacturing,BhInLi
BHANDARI,Bhandari Hosiery Exports Limited,Textiles,Manufacturing,BhHoExLi
BHARATFORG,Bharat Forge Limited,Manufacturing,Manufacturing,BhFoLi
BHARATGEAR,Bharat Gears Limited,Manufacturing,Manufacturing,BhGeLi
BHARATRAS,Bharat Rasayan Limited,Chemicals,Chemicals,BhRaLi
BHARATWIRE,Bharat Wire Ropes Limited,Manufacturing,Manufacturing,BhWiRoLi
BHARTIARTL,Bharti Airtel Limited,Telecommunications,Telecommunications,BhAiLi
BHEL,Bharat Heavy Electricals Limited,Manufacturing,Engineering,BhHeElLi
BIGBLOC,Bigbloc Construction Limited,Construction,Infrastructure,BiCoLi
BIKAJI,Bikaji Foods International Limited,Food Processing,Food & Beverage,BiFoInLi
BIL,Bhartiya International Limited,Textiles,Manufacturing,BhInLi
BINANIIND,Binani Industries Limited,Manufacturing,Manufacturing,BiInLi
BIOCON,Biocon Limited,Pharmaceuticals,Healthcare,BiLi
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Pharmaceuticals,Healthcare,BiCh_PhLi
BIRLACABLE,Birla Cable Limited,Manufacturing,Manufacturing,BiCaLi
BIRLACORPN,Birla Corporation Limited,Manufacturing,Manufacturing,BiCoLi
BIRLAMONEY,Aditya Birla Money Limited,Financial Services,Financial Services,AdBiMoLi
BKMINDST,Bkm Industries Limited,Manufacturing,Manufacturing,BkInLi
BLAL,BEML Land Assets Limited,Manufacturing,Manufacturing,BELaAsLi
BLBLIMITED,BLB Limited,Manufacturing,Manufacturing,BLLi
BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Healthcare,BlGVPhLi
BLKASHYAP,B. L. Kashyap and Sons Limited,Construction,Construction,B.L.KaanSoLi
BLS,BLS International Services Limited,Services,Services,BLInSeLi
BLSE,BLS E-Services Limited,Services,Services,BLE-Li
BLUECHIP,Blue Chip India Limited,Investment,Financial Services,BlChInLi
BLUECOAST,Blue Coast Hotels Limited,Hospitality,Hospitality,BlCoHoLi
BLUEDART,Blue Dart Express Limited,Logistics,Logistics,BlDaExLi
BLUEJET,Blue Jet Healthcare Limited,Healthcare,Healthcare,BlJeHeLi
BLUESTARCO,Blue Star Limited,Manufacturing,Manufacturing,BlStLi
BODALCHEM,Bodal Chemicals Limited,Chemicals,Chemicals,BoChLi
BOHRAIND,Bohra Industries Limited,Manufacturing,Manufacturing,BoInLi
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Textiles,Manufacturing,BoDy_MfCoLi
BOROLTD,Borosil Limited,Manufacturing,Manufacturing,BoLi
BORORENEW,BOROSIL RENEWABLES LIMITED,Manufacturing,Manufacturing,BORELI
BOSCHLTD,Bosch Limited,Engineering,Engineering,BoLi
BPCL,Bharat Petroleum Corporation Limited,Energy,Energy,BhPeCoLi
BPL,BPL Limited,Electronics,Electronics,BPLi
BRIGADE,Brigade Enterprises Limited,Real Estate,Real Estate,BrEnLi
BRITANNIA,Britannia Industries Limited,Food Processing,Food & Beverage,BrInLi
BRNL,Bharat Road Network Limited,Infrastructure,Infrastructure,BhRoNeLi
BROOKS,Brooks Laboratories Limited,Pharmaceuticals,Healthcare,BrLaLi
BSE,BSE Limited,Financial Services,Financial Services,BSLi
BSHSL,Bombay Super Hybrid Seeds Limited,Agriculture,Agriculture,BoSuHySeLi
BSL,BSL Limited,Manufacturing,Manufacturing,BSLi
BSOFT,BIRLASOFT LIMITED,IT Services,Technology,BILI
BTML,Bodhi Tree Multimedia Limited,Media,Media,BoTrMuLi
BURNPUR,Burnpur Cement Limited,Manufacturing,Manufacturing,BuCeLi
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Appliances,Consumer Products,BuGaApLi
BVCL,Barak Valley Cements Limited,Manufacturing,Manufacturing,BaVaCeLi
BYKE,The Byke Hospitality Ltd,Hospitality,Hospitality,ThByHoLt
CALSOFT,California Software Company Limited,IT Services,Technology,CaSoCoLi
CAMLINFINE,Camlin Fine Sciences Limited,Chemicals,Chemicals,CaFiScLi
CAMPUS,Campus Activewear Limited,Apparel,Retail,CaAcLi
CAMS,Computer Age Management Services Limited,Financial Services,Financial Services,CoAgMaSeLi
CANBK,Canara Bank,Banking,Financial Services,CaBa
CANFINHOME,Can Fin Homes Limited,Financial Services,Financial Services,CaFiHoLi
CANTABIL,Cantabil Retail India Limited,Retail,Retail,CaReInLi
CAPACITE,Capacit'e Infraprojects Limited,Infrastructure,Infrastructure,CaInLi
CAPITALSFB,Capital Small Finance Bank Limited,Banking,Financial Services,CaSmFiBaLi
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,Healthcare,CaPoLaLi
CAPTRUST,Capital Trust Limited,Financial Services,Financial Services,CaTrLi
CARBORUNIV,Carborundum Universal Limited,Manufacturing,Manufacturing,CaUnLi
CAREERP,Career Point Limited,Education,Education,CaPoLi
CARERATING,CARE Ratings Limited,Financial Services,Financial Services,CARaLi
CARTRADE,Cartrade Tech Limited,Technology,Technology,CaTeLi
CARYSIL,CARYSIL LIMITED,Consumer Products,Consumer Products,CALI
CASTROLIND,Castrol India Limited,Lubricants,Chemicals,CaInLi
CCHHL,Country Club Hospitality & Holidays Limited,Hospitality,Hospitality,CoClHo_HoLi
CCL,CCL Products (India) Limited,Food Processing,Food & Beverage,CCPr_ILi
CDSL,Central Depository Services (India) Limited,Financial Services,Financial Services,CeDeSe_ILi
CEATLTD,CEAT Limited,Manufacturing,Manufacturing,CELi
CELEBRITY,Celebrity Fashions Limited,Retail,Retail,CeFaLi
CELLO,Cello World Limited,Consumer Products,Consumer Products,CeWoLi
CENTENKA,Century Enka Limited,Manufacturing,Manufacturing,CeEnLi
CENTEXT,Century Extrusions Limited,Manufacturing,Manufacturing,CeExLi
CENTRALBK,Central Bank of India,Banking,Financial Services,CeBaofIn
CENTRUM,Centrum Capital Limited,Financial Services,Financial Services,CeCaLi
CENTUM,Centum Electronics Limited,Electronics,Technology,CeElLi
CENTURYPLY,Century Plyboards (India) Limited,Manufacturing,Manufacturing,CePl_ILi
CENTURYTEX,Century Textiles & Industries Limited,Textiles,Manufacturing,CeTe_InLi
CERA,Cera Sanitaryware Limited,Manufacturing,Manufacturing,CeSaLi
CEREBRAINT,Cerebra Integrated Technologies Limited,IT Services,Technology,CeInTeLi
CESC,CESC Limited,Utilities,Utilities,CELi
CGCL,Capri Global Capital Limited,Financial Services,Financial Services,CaGlCaLi
CGPOWER,CG Power and Industrial Solutions Limited,Manufacturing,Manufacturing,CGPoanInSoLi
CHALET,Chalet Hotels Limited,Hospitality,Hospitality,ChHoLi
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Chemicals,Chemicals,ChFe_ChLi
CHEMBOND,Chembond Chemicals Ltd,Chemicals,Chemicals,ChChLt
CHEMCON,Chemcon Speciality Chemicals Limited,Chemicals,Chemicals,ChSpChLi
CHEMFAB,Chemfab Alkalis Limited,Chemicals,Chemicals,ChAlLi
CHEMPLASTS,Chemplast Sanmar Limited,Chemicals,Chemicals,ChSaLi
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Energy,ChPeCoLi
